"Distal","Min_35","Min_10","Proximal","normalized_RNA_exp_UnInduced_12","normalized_RNA_exp_Induced_12"
"lacOscram","minus35_33T","minus10_12G","O3_rightSym",1.7383028576395,1.15040879125022
"lacOscram","minus35_33T","minus10cons","lacO3",4.48689213878604,4.19165705003622
"lacOscram","minus35_30C_33T","minus10_12A","lacOsym",0.867750807769128,0.659880429585842
"lacOscram","minus35cons","minus10cons","lacO3",12.2192450145304,10.9443623085708
"lacOscram","minus35cons","minus10cons","O2_leftSym",13.7963464501288,11.2211963732862
"lacOscram","minus35cons","minus10_7A","O3_leftSym",5.66889274985422,3.60480796272458
"lacOscram","minus35cons","minus10_7A","lacOsym",0.788296910298929,1.03979181605338
"lacOscram","minus35_31A_32C","minus10_12A","O2_leftSym",1.617197092733,0.712666483081008
"lacOscram","minus35_33T","minus10cons","O1_rightSym",12.8672863315615,9.59292555978724
"lacOscram","minus35cons","minus10_12A","lacO3",1.98172493709179,1.93929278503402
"lacOscram","minus35_30C_33T","minus10_12G","lacOscram",0.885986867472966,0.806008759057511
"lacOscram","minus35_33T","minus10_12G","O2_rightSym",1.82660166039967,1.25963617622784
"lacOscram","minus35_30C_33T","minus10_12A","O1_rightSym",1.75028176309062,1.54201886704338
"lacOscram","minus35_31A_32C","minus10_12G","lacOsym",1.91670311259788,0.708377278036721
"lacOscram","minus35_31A_32C","minus10_7A","lacOscram",1.29708036062972,1.0570964083386
"lacOscram","minus35_30C_33T","minus10_7A","O2_rightSym",3.25895334096144,2.61057142586113
"lacOscram","minus35_33T","minus10_12A","lacO1",1.19465336119704,1.10867813933965
"lacOscram","minus35_33T","minus10_7A","O1_rightSym",1.04635232478481,0.891681299035996
"lacOscram","minus35_33T","minus10_12G","O1_rightSym",1.35118613800872,1.00050435447645
"lacOscram","minus35_31A_32C","minus10_12G","lacO3",0.736490021382566,0.627349154917243
"lacOscram","minus35_33T","minus10_12A","lacO3",0.875274599253087,0.628569245518424
"lacOscram","minus35_33T","minus10_12A","lacOsym",0.59262748592562,0.590834786321736
"lacOscram","minus35_30C_33T","minus10_7A","lacO3",1.26557564283585,0.801000434971727
"lacOscram","minus35_30C_33T","minus10_12A","O3_rightSym",0.647270722430141,0.708133870412908
"lacOscram","minus35_33T","minus10_7A","lacOscram",1.37600667433987,0.996880676493456
"lacOscram","minus35cons","minus10_12G","O2_rightSym",2.95610512894764,2.86963336458486
"lacOscram","minus35_31A_32C","minus10cons","lacO1",2.52507926769106,5.32680990225863
"lacOscram","minus35cons","minus10_7A","lacOscram",12.3982581492651,8.45276906603484
"lacOscram","minus35_31A_32C","minus10_12A","O2_rightSym",1.30900009042597,1.29007623422884
"lacOscram","minus35cons","minus10_12G","lacOscram",7.50878866872526,5.50101485226674
"lacOscram","minus35_33T","minus10cons","O3_leftSym",2.23885670428973,1.909266923247
"lacOscram","minus35_30C_33T","minus10_12G","O3_leftSym",0.725989963269764,0.373200096285086
"lacOscram","minus35cons","minus10_12A","O2_rightSym",2.30135576564995,1.47058941751681
"lacOscram","minus35_31A_32C","minus10_7A","O2_leftSym",1.08901173379024,1.01286056419489
"lacOscram","minus35_33T","minus10cons","O2_rightSym",3.85495623592762,4.16549947460077
"lacOscram","minus35_31A_32C","minus10_7A","lacO3",1.93152133152654,0.874902607711102
"lacOscram","minus35cons","minus10_12G","lacOsym",1.2744222422553,2.96786236302995
"lacOscram","minus35_31A_32C","minus10cons","lacOscram",8.69627659268766,6.23301565108216
"lacOscram","minus35_31A_32C","minus10_7A","lacOsym",1.29015808014549,1.04823747551572
