O2_leftSym	minus35_30C_33T	minus10_7A	lacO2	0.676866376208175	0.71121716635123
lacO3	minus35_30C_33T	minus10_12A	lacO1	2.99086233256877	1.47323417908439
lacOsym	minus35_33T	minus10_7A	lacO3	2.40729142106666	1.74742623571616
O3_rightSym	minus35_30C_33T	minus10_12A	O1_rightSym	0.874260520940045	0.50247534691726
O2_rightSym	minus35cons	minus10_12G	lacO3	2.67186836000271	3.23785279757793
O3_leftSym	minus35_33T	minus10_12A	O3_rightSym	0.825792095135581	0.490057178017108
lacOsym	minus35_33T	minus10_7A	lacOsym	0.706783307101932	0.582047373995704
O2_rightSym	minus35_30C_33T	minus10cons	O2_leftSym	1.93307576699589	1.40804762450789
O1_rightSym	minus35_31A_32C	minus10_7A	lacOsym	0.416466373110648	0.544443106339463
lacO2	minus35_31A_32C	minus10_12A	O3_leftSym	1.0761706312068	0.70340035790352
lacO3	minus35_30C_33T	minus10cons	lacO2	1.12488453059894	1.05242233499405
O3_leftSym	minus35_31A_32C	minus10_12G	lacO2	1.29508758713007	0.887427828174061
lacO1	minus35_31A_32C	minus10_12A	O1_rightSym	0.492468059680211	0.330849385979005
O2_leftSym	minus35_31A_32C	minus10cons	lacOscram	17.177790249295	14.0011770201696
O3_rightSym	minus35cons	minus10cons	lacOsym	3.21987676803188	11.8971605129052
O3_leftSym	minus35cons	minus10_12G	lacO3	6.73926509579258	5.03011556692638
O3_leftSym	minus35cons	minus10_7A	O3_leftSym	5.08192906318483	2.94479508430462
lacO1	minus35_31A_32C	minus10_12G	O2_leftSym	1.25543403655661	0.793995323992822
O3_rightSym	minus35_33T	minus10_12A	lacO3	1.64623269021799	1.17585921130813
lacO3	minus35_30C_33T	minus10_12A	O2_leftSym	0.990068924474124	1.20748903850039
lacO2	minus35_31A_32C	minus10_12G	O2_leftSym	0.904976717920623	1.1400433755911
O1_rightSym	minus35_31A_32C	minus10_12G	lacO3	1.29424722363631	1.00019480293596
O3_leftSym	minus35_30C_33T	minus10_12A	O2_rightSym	0.575850531027847	0.508226109003158
O2_leftSym	minus35cons	minus10_12G	lacOscram	3.02755216012697	2.20953327086027
O2_rightSym	minus35_33T	minus10_7A	lacO1	0.83196986373806	1.12357645978722
lacOsym	minus35cons	minus10_12A	lacO2	2.90798002210397	1.43940025105511
O3_rightSym	minus35_30C_33T	minus10_12G	O3_leftSym	0.98713278793415	0.724652892832768
lacOscram	minus35_33T	minus10_12A	lacOscram	1.29902106905886	0.643610505678054
O3_leftSym	minus35_31A_32C	minus10_7A	O2_rightSym	1.25578547961328	1.06507753340571
lacOscram	minus35cons	minus10_12G	lacO3	12.5150664735591	10.9875596955012
lacOscram	minus35cons	minus10_7A	lacO3	4.46679551176298	3.53529372797196
lacO2	minus35_33T	minus10_7A	O3_rightSym	1.01645021316569	0.627134914900354
lacOsym	minus35cons	minus10_12G	O2_leftSym	4.71176504685948	5.59113519091847
O3_leftSym	minus35_30C_33T	minus10cons	lacO1	1.7104223996322	2.03160768334415
O2_leftSym	minus35_31A_32C	minus10_12A	O3_rightSym	1.20936769664563	0.810736569050715
lacO2	minus35_33T	minus10_7A	O2_leftSym	0.886689291573306	0.876023074216341
O2_leftSym	minus35_33T	minus10_7A	O3_rightSym	1.39518444173299	1.1429871558847
lacO3	minus35cons	minus10_12A	lacOscram	1.8873679329319	1.4255820345293
lacOscram	minus35cons	minus10_12A	O3_leftSym	2.84048789812888	2.57009264060393
O3_leftSym	minus35_31A_32C	minus10_7A	lacOscram	1.47711211835141	1.45043342585305
O2_leftSym	minus35_33T	minus10_12A	O3_leftSym	1.51176379158643	1.11072110214931
lacOsym	minus35_33T	minus10_7A	lacO1	1.21301985127242	1.11696005728823
lacO1	minus35_33T	minus10_12A	lacOsym	0.805729079842064	0.48758507929539
