"","Architecture","FC"
"1","C1",18.8299615266551
"2","C2",28.7569815305612
"3","D1",15.3215076298175
"4","D2",4.29433312764427
"5","M1",40.890070232084
"6","M2",15.7218022590936
"7","N",0.970101342741203
"8","S1",50.458664027331
"9","S2",93.6663890928876
"10","UV5",4.62153820882397
