name	Library	Distal	Min_35	Min_10	Prox.Core	Condition	Expression	Sym
COMBO-lacO1-minus35cons-minus10cons-lacOsym	COMBO	lacO1	minus35cons	minus10cons	lacOsym	UnInduced	1.12523874051489	Yes
COMBO-lacOscram-minus35_30C_33T-minus10cons-lacO3	COMBO	lacOscram	minus35_30C_33T	minus10cons	lacO3	UnInduced	0.896839447408434	No
COMBO-lacO1-minus35cons-minus10_7A-lacO3	COMBO	lacO1	minus35cons	minus10_7A	lacO3	UnInduced	6.38411338028053	No
COMBO-lacO3-minus35_30C_33T-minus10cons-lacOsym	COMBO	lacO3	minus35_30C_33T	minus10cons	lacOsym	UnInduced	0.869119323709453	Yes
COMBO-lacOsym-minus35_31A_32C-minus10cons-lacOsym	COMBO	lacOsym	minus35_31A_32C	minus10cons	lacOsym	UnInduced	0.538116388106313	Yes
COMBO-lacOsym-minus35cons-minus10_12A-lacOsym	COMBO	lacOsym	minus35cons	minus10_12A	lacOsym	UnInduced	1.05279936564106	Yes
COMBO-lacOscram-minus35cons-minus10cons-lacOsym	COMBO	lacOscram	minus35cons	minus10cons	lacOsym	UnInduced	3.89244396257638	Yes
COMBO-lacOsym-minus35cons-minus10_12G-lacOsym	COMBO	lacOsym	minus35cons	minus10_12G	lacOsym	UnInduced	0.98724120511223	Yes
COMBO-lacO2-minus35cons-minus10cons-lacO3	COMBO	lacO2	minus35cons	minus10cons	lacO3	UnInduced	31.9289452610346	No
COMBO-lacOscram-minus35cons-minus10cons-lacO2	COMBO	lacOscram	minus35cons	minus10cons	lacO2	UnInduced	22.1856380459614	No
COMBO-lacO2-minus35cons-minus10cons-lacOsym	COMBO	lacO2	minus35cons	minus10cons	lacOsym	UnInduced	4.83376097984046	Yes
COMBO-lacO2-minus35_31A_32C-minus10cons-lacO2	COMBO	lacO2	minus35_31A_32C	minus10cons	lacO2	UnInduced	15.7729896221429	No
COMBO-lacOsym-minus35cons-minus10_12A-lacOscram	COMBO	lacOsym	minus35cons	minus10_12A	lacOscram	UnInduced	2.50097187962948	No
COMBO-lacO1-minus35_31A_32C-minus10cons-lacOsym	COMBO	lacO1	minus35_31A_32C	minus10cons	lacOsym	UnInduced	1.53453197528451	Yes
COMBO-lacO1-minus35_30C_33T-minus10cons-lacOscram	COMBO	lacO1	minus35_30C_33T	minus10cons	lacOscram	UnInduced	1.89186337134351	No
COMBO-lacO2-minus35cons-minus10_12G-lacO3	COMBO	lacO2	minus35cons	minus10_12G	lacO3	UnInduced	3.20581060686836	No
COMBO-lacO2-minus35_30C_33T-minus10cons-lacO3	COMBO	lacO2	minus35_30C_33T	minus10cons	lacO3	UnInduced	1.44324187412382	No
COMBO-lacO3-minus35cons-minus10_7A-lacOsym	COMBO	lacO3	minus35cons	minus10_7A	lacOsym	UnInduced	0.923576560928214	Yes
COMBO-lacO2-minus35cons-minus10cons-lacOscram	COMBO	lacO2	minus35cons	minus10cons	lacOscram	UnInduced	11.820627482084	No
COMBO-lacOsym-minus35cons-minus10cons-lacOsym	COMBO	lacOsym	minus35cons	minus10cons	lacOsym	UnInduced	1.46387443710053	Yes
COMBO-lacO1-minus35cons-minus10cons-lacO2	COMBO	lacO1	minus35cons	minus10cons	lacO2	UnInduced	12.9471128570067	No
COMBO-lacOsym-minus35cons-minus10_12G-lacO3	COMBO	lacOsym	minus35cons	minus10_12G	lacO3	UnInduced	1.85662667847396	No
COMBO-lacOsym-minus35cons-minus10_7A-lacO3	COMBO	lacOsym	minus35cons	minus10_7A	lacO3	UnInduced	1.13403370791176	No
COMBO-lacO3-minus35_31A_32C-minus10cons-lacOscram	COMBO	lacO3	minus35_31A_32C	minus10cons	lacOscram	UnInduced	6.41289658754299	No
COMBO-lacO3-minus35cons-minus10_12A-lacOsym	COMBO	lacO3	minus35cons	minus10_12A	lacOsym	UnInduced	0.910120090610977	Yes
COMBO-lacOscram-minus35cons-minus10_12A-lacOscram	COMBO	lacOscram	minus35cons	minus10_12A	lacOscram	UnInduced	2.25104549486246	No
COMBO-lacO2-minus35cons-minus10_12G-lacO2	COMBO	lacO2	minus35cons	minus10_12G	lacO2	UnInduced	2.98323613270927	No
COMBO-lacOsym-minus35_30C_33T-minus10cons-lacO3	COMBO	lacOsym	minus35_30C_33T	minus10cons	lacO3	UnInduced	1.43568723451587	No
COMBO-lacOsym-minus35cons-minus10cons-lacO2	COMBO	lacOsym	minus35cons	minus10cons	lacO2	UnInduced	28.4435279213502	No
COMBO-lacOscram-minus35_33T-minus10cons-lacO3	COMBO	lacOscram	minus35_33T	minus10cons	lacO3	UnInduced	4.48689213878604	No
COMBO-lacOsym-minus35_33T-minus10cons-lacOsym	COMBO	lacOsym	minus35_33T	minus10cons	lacOsym	UnInduced	0.446618589206016	Yes
COMBO-lacOscram-minus35cons-minus10cons-lacO3	COMBO	lacOscram	minus35cons	minus10cons	lacO3	UnInduced	12.2192450145304	No
COMBO-lacOsym-minus35cons-minus10_12G-lacO2	COMBO	lacOsym	minus35cons	minus10_12G	lacO2	UnInduced	2.31108306374278	No
COMBO-lacO3-minus35_33T-minus10cons-lacO3	COMBO	lacO3	minus35_33T	minus10cons	lacO3	UnInduced	6.43987458242115	No
COMBO-lacO2-minus35cons-minus10_7A-lacO1	COMBO	lacO2	minus35cons	minus10_7A	lacO1	UnInduced	0.582811093513876	No
COMBO-lacOscram-minus35cons-minus10_7A-lacOsym	COMBO	lacOscram	minus35cons	minus10_7A	lacOsym	UnInduced	0.788296910298929	Yes
COMBO-lacOsym-minus35_31A_32C-minus10cons-lacOscram	COMBO	lacOsym	minus35_31A_32C	minus10cons	lacOscram	UnInduced	5.92857189432788	No
COMBO-lacO3-minus35_30C_33T-minus10cons-lacOscram	COMBO	lacO3	minus35_30C_33T	minus10cons	lacOscram	UnInduced	2.26077313038737	No
COMBO-lacO1-minus35_31A_32C-minus10cons-lacOscram	COMBO	lacO1	minus35_31A_32C	minus10cons	lacOscram	UnInduced	7.09983102230768	No
COMBO-lacOscram-minus35cons-minus10_12A-lacO3	COMBO	lacOscram	minus35cons	minus10_12A	lacO3	UnInduced	1.98172493709179	No
COMBO-lacOsym-minus35cons-minus10_7A-lacO2	COMBO	lacOsym	minus35cons	minus10_7A	lacO2	UnInduced	2.16636176435202	No
COMBO-lacO3-minus35cons-minus10_12G-lacOscram	COMBO	lacO3	minus35cons	minus10_12G	lacOscram	UnInduced	4.69104588188801	No
COMBO-lacO1-minus35_30C_33T-minus10cons-lacO2	COMBO	lacO1	minus35_30C_33T	minus10cons	lacO2	UnInduced	1.49383738150054	No
COMBO-lacO3-minus35cons-minus10_7A-lacOscram	COMBO	lacO3	minus35cons	minus10_7A	lacOscram	UnInduced	8.46643752915064	No
COMBO-lacO2-minus35_30C_33T-minus10cons-lacO2	COMBO	lacO2	minus35_30C_33T	minus10cons	lacO2	UnInduced	3.66130873058707	No
COMBO-lacO1-minus35_33T-minus10cons-lacOscram	COMBO	lacO1	minus35_33T	minus10cons	lacOscram	UnInduced	3.84370399647615	No
COMBO-lacOsym-minus35cons-minus10_12A-lacO1	COMBO	lacOsym	minus35cons	minus10_12A	lacO1	UnInduced	0.620932388492768	No
COMBO-lacO3-minus35cons-minus10_7A-lacO3	COMBO	lacO3	minus35cons	minus10_7A	lacO3	UnInduced	3.99972413718065	No
COMBO-lacOscram-minus35_31A_32C-minus10cons-lacO1	COMBO	lacOscram	minus35_31A_32C	minus10cons	lacO1	UnInduced	2.52507926769106	No
COMBO-lacOscram-minus35cons-minus10_7A-lacOscram	COMBO	lacOscram	minus35cons	minus10_7A	lacOscram	UnInduced	12.3982581492651	No
COMBO-lacO2-minus35cons-minus10_7A-lacOscram	COMBO	lacO2	minus35cons	minus10_7A	lacOscram	UnInduced	4.2127201990387	No
COMBO-lacO2-minus35cons-minus10_12A-lacO3	COMBO	lacO2	minus35cons	minus10_12A	lacO3	UnInduced	1.86477643005716	No
COMBO-lacO1-minus35cons-minus10cons-lacOscram	COMBO	lacO1	minus35cons	minus10cons	lacOscram	UnInduced	30.5115797942766	No
COMBO-lacOscram-minus35cons-minus10_12G-lacOscram	COMBO	lacOscram	minus35cons	minus10_12G	lacOscram	UnInduced	7.50878866872526	No
COMBO-lacOsym-minus35cons-minus10_7A-lacO1	COMBO	lacOsym	minus35cons	minus10_7A	lacO1	UnInduced	1.45041634775523	No
COMBO-lacOsym-minus35cons-minus10_12G-lacO1	COMBO	lacOsym	minus35cons	minus10_12G	lacO1	UnInduced	1.34837371796713	No
COMBO-lacO1-minus35_30C_33T-minus10cons-lacOsym	COMBO	lacO1	minus35_30C_33T	minus10cons	lacOsym	UnInduced	0.508286689821498	Yes
COMBO-lacO2-minus35cons-minus10_7A-lacO2	COMBO	lacO2	minus35cons	minus10_7A	lacO2	UnInduced	6.65474467794526	No
COMBO-lacOscram-minus35cons-minus10_12G-lacOsym	COMBO	lacOscram	minus35cons	minus10_12G	lacOsym	UnInduced	1.2744222422553	Yes
COMBO-lacOscram-minus35_31A_32C-minus10cons-lacOscram	COMBO	lacOscram	minus35_31A_32C	minus10cons	lacOscram	UnInduced	8.69627659268766	No
COMBO-lacO2-minus35cons-minus10_12A-lacOsym	COMBO	lacO2	minus35cons	minus10_12A	lacOsym	UnInduced	1.37861038073782	Yes
COMBO-lacOscram-minus35cons-minus10_7A-lacO1	COMBO	lacOscram	minus35cons	minus10_7A	lacO1	UnInduced	0.893212909173118	No
COMBO-lacOscram-minus35cons-minus10_12G-lacO1	COMBO	lacOscram	minus35cons	minus10_12G	lacO1	UnInduced	1.35376595215753	No
COMBO-lacO1-minus35_30C_33T-minus10cons-lacO3	COMBO	lacO1	minus35_30C_33T	minus10cons	lacO3	UnInduced	1.08479462470991	No
COMBO-lacO1-minus35cons-minus10_12A-lacOscram	COMBO	lacO1	minus35cons	minus10_12A	lacOscram	UnInduced	1.85990379661076	No
COMBO-lacO3-minus35cons-minus10_7A-lacO1	COMBO	lacO3	minus35cons	minus10_7A	lacO1	UnInduced	1.33240751046298	No
COMBO-lacO1-minus35_30C_33T-minus10cons-lacO1	COMBO	lacO1	minus35_30C_33T	minus10cons	lacO1	UnInduced	1.40186700419952	No
COMBO-lacO3-minus35_31A_32C-minus10cons-lacOsym	COMBO	lacO3	minus35_31A_32C	minus10cons	lacOsym	UnInduced	1.07309100140661	Yes
COMBO-lacO1-minus35cons-minus10_12A-lacO2	COMBO	lacO1	minus35cons	minus10_12A	lacO2	UnInduced	1.32813387666317	No
COMBO-lacO3-minus35cons-minus10_12A-lacO2	COMBO	lacO3	minus35cons	minus10_12A	lacO2	UnInduced	1.59345130572904	No
COMBO-lacO1-minus35cons-minus10_7A-lacO1	COMBO	lacO1	minus35cons	minus10_7A	lacO1	UnInduced	0.965948131659132	No
COMBO-lacO2-minus35_33T-minus10cons-lacO2	COMBO	lacO2	minus35_33T	minus10cons	lacO2	UnInduced	5.52627111992944	No
COMBO-lacOscram-minus35_33T-minus10cons-lacOscram	COMBO	lacOscram	minus35_33T	minus10cons	lacOscram	UnInduced	2.23552026794611	No
COMBO-lacO1-minus35_33T-minus10cons-lacO1	COMBO	lacO1	minus35_33T	minus10cons	lacO1	UnInduced	0.752325761844288	No
COMBO-lacOscram-minus35cons-minus10_12A-lacO2	COMBO	lacOscram	minus35cons	minus10_12A	lacO2	UnInduced	1.6142113633779	No
COMBO-lacOsym-minus35_31A_32C-minus10cons-lacO1	COMBO	lacOsym	minus35_31A_32C	minus10cons	lacO1	UnInduced	1.29566945960867	No
