Library	Prox.Core	Distal	Min_10	Min_35	ratio
COMBO	lacOscram	lacO3	minus10_7A	minus35cons	0.956718227836075
COMBO	lacO2	lacO2	minus10cons	minus35_30C_33T	0.80376274609708
COMBO	lacOscram	lacO1	minus10cons	minus35_33T	1.2037525389958
COMBO	lacO1	lacOsym	minus10_12A	minus35cons	0.652863408875922
COMBO	lacO3	lacO3	minus10_7A	minus35cons	0.807790443715547
COMBO	lacO1	lacOscram	minus10cons	minus35_31A_32C	2.10956145829413
COMBO	lacOscram	lacOscram	minus10_7A	minus35cons	0.68177069425965
COMBO	lacOscram	lacO2	minus10_7A	minus35cons	0.815426030662932
COMBO	lacO3	lacO2	minus10_12A	minus35cons	0.836433403319488
COMBO	lacOscram	lacO1	minus10cons	minus35cons	1.00243090580756
COMBO	lacOscram	lacOscram	minus10_12G	minus35cons	0.732610157904554
COMBO	lacO1	lacOsym	minus10_7A	minus35cons	1.34941145419304
COMBO	lacO1	lacOsym	minus10_12G	minus35cons	2.18796906907239
COMBO	lacOsym	lacO1	minus10cons	minus35_30C_33T	1.34338109649728
COMBO	lacO2	lacO2	minus10_7A	minus35cons	1.03275436848714
COMBO	lacOsym	lacOscram	minus10_12G	minus35cons	2.32879046255332
COMBO	lacOscram	lacOscram	minus10cons	minus35_31A_32C	0.716745331711649
COMBO	lacOsym	lacO2	minus10_12A	minus35cons	1.14096315308575
COMBO	lacO1	lacOscram	minus10_7A	minus35cons	1.65080803813974
COMBO	lacO1	lacOscram	minus10_12G	minus35cons	2.14975506329995
COMBO	lacO3	lacO1	minus10cons	minus35_30C_33T	1.14633861458991
COMBO	lacOscram	lacO1	minus10_12A	minus35cons	0.821463846603164
COMBO	lacO1	lacO3	minus10_7A	minus35cons	1.9179011380231
COMBO	lacO1	lacO1	minus10cons	minus35_30C_33T	0.717712378320415
COMBO	lacOsym	lacO3	minus10cons	minus35_31A_32C	3.59444429540454
COMBO	lacO2	lacO1	minus10_12A	minus35cons	0.557575451186963
COMBO	lacO2	lacO3	minus10_12A	minus35cons	0.766991203472652
COMBO	lacO1	lacO1	minus10_7A	minus35cons	2.42682917476343
COMBO	lacO2	lacO2	minus10cons	minus35_33T	0.736665689896821
COMBO	lacOscram	lacOscram	minus10cons	minus35_33T	0.861824060353875
COMBO	lacO1	lacO1	minus10cons	minus35_33T	3.7698706701822
COMBO	lacO2	lacOscram	minus10_12A	minus35cons	1.23125387899308
COMBO	lacO1	lacOsym	minus10cons	minus35_31A_32C	3.99142924771831
COMBO	lacO3	lacO2	minus10cons	minus35_31A_32C	0.764305079732635
COMBO	lacO3	lacO2	minus10_7A	minus35cons	0.746997451199675
COMBO	lacOscram	lacO2	minus10cons	minus35_31A_32C	0.907599674671818
COMBO	lacOscram	lacO2	minus10_12A	minus35cons	0.641035533554149
COMBO	lacO1	lacOscram	minus10cons	minus35cons	2.61648294890417
COMBO	lacO1	lacO2	minus10_12G	minus35cons	2.10750778840351
COMBO	lacO2	lacOscram	minus10cons	minus35_31A_32C	0.846008252208237
COMBO	lacOsym	lacO1	minus10cons	minus35_33T	2.68566187153371
COMBO	lacOsym	lacO2	minus10cons	minus35_33T	2.54982623249911
COMBO	lacOsym	lacO2	minus10_7A	minus35cons	1.7305982479354
COMBO	lacO2	lacO1	minus10_12G	minus35cons	0.83863663562464
COMBO	lacO1	lacO3	minus10cons	minus35_30C_33T	1.70234544832244
COMBO	lacO2	lacOsym	minus10cons	minus35_30C_33T	0.788910394309875
COMBO	lacOscram	lacO1	minus10_7A	minus35cons	0.988100657071989
COMBO	lacOscram	lacOsym	minus10cons	minus35_33T	0.847670274539232
COMBO	lacO1	lacO2	minus10_12A	minus35cons	1.10931885982946
COMBO	lacO1	lacO2	minus10cons	minus35_31A_32C	2.50504176490809
COMBO	lacO1	lacO1	minus10_12G	minus35cons	2.27452890750848
COMBO	lacO2	lacO1	minus10cons	minus35_33T	1.423460827483
COMBO	lacO3	lacO3	minus10_12G	minus35cons	0.954215413200701
COMBO	lacO3	lacO2	minus10cons	minus35_33T	0.762804445546442
COMBO	lacOsym	lacO3	minus10cons	minus35cons	8.67573963964359
COMBO	lacOscram	lacO3	minus10cons	minus35cons	0.833302798983795
COMBO	lacO1	lacO3	minus10cons	minus35_31A_32C	3.76738227494834
COMBO	lacO1	lacO2	minus10cons	minus35cons	3.28785162335906
COMBO	lacO1	lacO3	minus10cons	minus35_33T	2.12340993970565
COMBO	lacOsym	lacOscram	minus10_12A	minus35cons	1.6210547194999
COMBO	lacOscram	lacOscram	minus10cons	minus35cons	0.99809786730151
COMBO	lacO2	lacO3	minus10cons	minus35_31A_32C	0.959247654128695
COMBO	lacOscram	lacOsym	minus10_12G	minus35cons	0.835193878784405
COMBO	lacO3	lacO1	minus10cons	minus35cons	1.28233124468129
COMBO	lacO2	lacOscram	minus10_12G	minus35cons	0.747598807122015
