"{2.209213036816431, 2.28957391053601}","{4.128663722919185, 6.16570492170175}"
"{1.1714456036711633, 0.892607723325965}","{1.5154533237459193, 0.869482784412431}"
"{4.632806128459796, 2.75130282733388}","{4.633011007198422, 2.53440628077948}"
"{1.9554824649449554, 1.54234930121545}","{1.9555412073088005, 1.09594168535908}"
"{0.9236102844381522, 0.919113713213043}","{1.493961416828418, 1.57308846486855}"
"{0.9191075312278837, 1.4352514828147}","{0.95583676562828, 1.58710316419164}"
"{0.9783548429199884, 0.721853841606002}","{0.9807508735060684, 0.670605112431828}"
"{0.9058208315182767, 0.705661585834668}","{1.061249339938991, 0.682645759186491}"
"{1.1438158386775452, 1.34972440489102}","{1.1619962977479072, 1.24673886521591}"
"{1.7201020634027697, 1.11966331873347}","{3.985063078713158, 2.96224908473668}"
"{0.8957688848411827, 1.54703618114882}","{1.1000953077078128, 1.83188484108776}"
"{4.632573033425499, 6.10179545030532}","{4.633003292941219, 5.23079767549925}"
"{0.8794700925827836, 1.06396896204993}","{0.881825174102215, 0.645243634773912}"
"{3.6107680879536477, 2.68089789425215}","{3.664226882686981, 2.45220499660887}"
"{0.9687893145653598, 1.01399424013264}","{0.9804385271138017, 1.26249900792176}"
"{0.9453587589438057, 0.845180338038376}","{0.9573466583471182, 1.01531888512317}"
"{0.9233444277207282, 1.67682892834257}","{1.4871048578683328, 1.85918012676344}"
"{0.8801330495043528, 2.23123573571716}","{0.8835146822741773, 2.98440573947801}"
"{1.0188339891323268, 1.22007933131535}","{1.1469148092463455, 0.796507550537586}"
"{1.5378824491071137, 2.16627306948598}","{1.5379847782059466, 1.72532314273697}"
"{0.9028297046316734, 0.582652668130446}","{0.9071020484031054, 0.404439298493977}"
"{4.93920615425179, 6.4199100792815}","{8.665354163282508, 7.04018245566124}"
"{0.8937837935705392, 0.788998613137469}","{0.8947805769293696, 0.552757534502197}"
"{0.8796981163193396, 0.740406481864113}","{0.8821452530232445, 0.520694952622197}"
"{0.9488493512120212, 0.384412990571538}","{0.960028788307508, 0.7603164459088}"
"{0.8837188880718754, 1.52658470671337}","{0.883719396920031, 1.55368333450848}"
"{3.1347838452869117, 2.91684624754985}","{3.543374492536673, 3.06544546400585}"
"{1.674625687623336, 4.12264086184099}","{3.9611918724688646, 6.43531669322832}"
"{0.898415653557802, 1.08916310784422}","{0.953429275511976, 0.779460874925401}"
"{4.926611738651276, 5.19418519157383}","{8.659093839862527, 6.46410998036142}"
"{0.9409709206306268, 1.50198073631743}","{1.3022458188290398, 1.80358548537377}"
"{19.29444145923949, 11.571056949931}","{21.953563414659623, 17.1650290447161}"
"{0.8803459339972263, 0.439678989239499}","{0.884513928963165, 0.418934013233776}"
"{1.1059226336027583, 2.38054138567206}","{1.1060194788339324, 2.11007649140524}"
