"Concentration" "Architecture" "GFP" "OD"
"151" 0.01 "M1" 299 0.194299996
"152" 0.01 "M1" 310 0.201199993
"153" 0.01 "M1" 1158 0.407700002
"154" 0.01 "M2" 274 0.166800007
"155" 0.01 "M2" 526 0.212300003
"156" 0.01 "M2" 1820 0.394800007
"157" 0.01 "N" 1136 0.195500001
"158" 0.01 "N" 1290 0.206
"159" 0.01 "N" 1222 0.203500003
"160" 0.01 "UV5" 777 0.333099991
"161" 0.1 "M1" 939 0.170200005
"162" 0.1 "M1" 945 0.172499999
"163" 0.1 "M1" 1636 0.213
"164" 0.1 "M2" 642 0.154699996
"165" 0.1 "M2" 992 0.172600001
"166" 0.1 "M2" 1808 0.204099998
"167" 0.1 "N" 957 0.171299994
"168" 0.1 "N" 931 0.170399994
"169" 0.1 "N" 874 0.167699993
"170" 0.1 "UV5" 912 0.220100001
"171" 1 "M1" 1054 0.184100002
"172" 1 "M1" 1145 0.194499999
"173" 1 "M1" 3559 0.368999988
"174" 1 "M2" 804 0.171700001
"175" 1 "M2" 1460 0.211899996
"176" 1 "M2" 4145 0.374500006
"177" 1 "N" 1317 0.208100006
"178" 1 "N" 1224 0.197699994
"179" 1 "N" 1457 0.214699998
"180" 1 "UV5" 1379 0.302700013
