"Library" "Prox.Core" "Distal" "Min_10" "Min_35" "ratio"
"296" "DISTAL" "lacO1" "lacO1" "minus10_12A" "minus35cons" 1.85297464361261
"297" "DISTAL" "lacO2" "lacOscram" "minus10_7A" "minus35cons" 1.04216949303209
"298" "DISTAL" "lacOsym" "lacOsym" "minus10_12G" "minus35cons" 3.0085262170602
"299" "DISTAL" "lacO2" "lacOscram" "minus10_12G" "minus35cons" 0.838898470259851
"300" "DISTAL" "lacOscram" "lacO1" "minus10cons" "minus35_30C_33T" 0.704334875406974
"301" "DISTAL" "lacO3" "lacO3" "minus10cons" "minus35cons" 1.03576164265199
"302" "DISTAL" "lacO2" "lacO1" "minus10cons" "minus35cons" 0.812053734131173
"303" "DISTAL" "lacO1" "lacOscram" "minus10cons" "minus35_33T" 1.82915290921176
"304" "DISTAL" "lacOscram" "lacO3" "minus10cons" "minus35_33T" 0.622451828933277
"305" "DISTAL" "lacOsym" "lacOscram" "minus10_12A" "minus35cons" 1.08568881445841
