"Library" "Prox.Core" "Distal" "Min_10" "Min_35" "ratio"
"68" "COMBO" "lacO2" "lacO2" "minus10_12G" "minus35cons" 0.800859121060502
"69" "COMBO" "lacO3" "lacOsym" "minus10cons" "minus35_30C_33T" 1.09012959056142
"70" "COMBO" "lacO2" "lacOsym" "minus10cons" "minus35cons" 1.69711440384739
"71" "COMBO" "lacO3" "lacOscram" "minus10cons" "minus35_33T" 0.934200538007651
"72" "COMBO" "lacOsym" "lacOsym" "minus10cons" "minus35_33T" 0.450814373348732
"73" "COMBO" "lacO3" "lacOscram" "minus10cons" "minus35cons" 0.895666000277133
"74" "COMBO" "lacO2" "lacOsym" "minus10_12G" "minus35cons" 1.13075696469758
"75" "COMBO" "lacO3" "lacO3" "minus10cons" "minus35_33T" 0.936186735291532
"76" "COMBO" "lacO1" "lacO2" "minus10_7A" "minus35cons" 2.55176464583417
"77" "COMBO" "lacOsym" "lacOscram" "minus10_7A" "minus35cons" 1.3190357623742
"78" "COMBO" "lacOscram" "lacOsym" "minus10cons" "minus35_31A_32C" 0.818935020961387
"79" "COMBO" "lacOscram" "lacO3" "minus10cons" "minus35_30C_33T" 0.684180400487788
"80" "COMBO" "lacOscram" "lacO1" "minus10cons" "minus35_31A_32C" 1.09543700214125
"81" "COMBO" "lacO3" "lacOscram" "minus10_12A" "minus35cons" 0.978588273648086
"82" "COMBO" "lacO2" "lacOsym" "minus10_7A" "minus35cons" 0.827671209014014
"83" "COMBO" "lacOscram" "lacO3" "minus10_12G" "minus35cons" 0.812815300775287
"84" "COMBO" "lacO2" "lacO1" "minus10cons" "minus35_30C_33T" 0.553791892570222
"85" "COMBO" "lacOscram" "lacO3" "minus10_7A" "minus35cons" 0.956718227836075
"86" "COMBO" "lacO2" "lacO2" "minus10cons" "minus35_30C_33T" 0.80376274609708
"87" "COMBO" "lacOscram" "lacO1" "minus10cons" "minus35_33T" 1.2037525389958
"88" "COMBO" "lacO1" "lacOsym" "minus10_12A" "minus35cons" 0.652863408875922
"89" "COMBO" "lacO3" "lacO3" "minus10_7A" "minus35cons" 0.807790443715547
"90" "COMBO" "lacO1" "lacOscram" "minus10cons" "minus35_31A_32C" 2.10956145829413
"91" "COMBO" "lacOscram" "lacOscram" "minus10_7A" "minus35cons" 0.68177069425965
"92" "COMBO" "lacOscram" "lacO2" "minus10_7A" "minus35cons" 0.815426030662932
"93" "COMBO" "lacO3" "lacO2" "minus10_12A" "minus35cons" 0.836433403319488
"94" "COMBO" "lacOscram" "lacO1" "minus10cons" "minus35cons" 1.00243090580756
"95" "COMBO" "lacOscram" "lacOscram" "minus10_12G" "minus35cons" 0.732610157904554
"96" "COMBO" "lacO1" "lacOsym" "minus10_7A" "minus35cons" 1.34941145419304
"97" "COMBO" "lacO1" "lacOsym" "minus10_12G" "minus35cons" 2.18796906907239
"98" "COMBO" "lacOsym" "lacO1" "minus10cons" "minus35_30C_33T" 1.34338109649728
"99" "COMBO" "lacO2" "lacO2" "minus10_7A" "minus35cons" 1.03275436848714
"100" "COMBO" "lacOsym" "lacOscram" "minus10_12G" "minus35cons" 2.32879046255332
"101" "COMBO" "lacOscram" "lacOscram" "minus10cons" "minus35_31A_32C" 0.716745331711649
"102" "COMBO" "lacOsym" "lacO2" "minus10_12A" "minus35cons" 1.14096315308575
"103" "COMBO" "lacO1" "lacOscram" "minus10_7A" "minus35cons" 1.65080803813974
"104" "COMBO" "lacO1" "lacOscram" "minus10_12G" "minus35cons" 2.14975506329995
"105" "COMBO" "lacO3" "lacO1" "minus10cons" "minus35_30C_33T" 1.14633861458991
"106" "COMBO" "lacOscram" "lacO1" "minus10_12A" "minus35cons" 0.821463846603164
"107" "COMBO" "lacO1" "lacO3" "minus10_7A" "minus35cons" 1.9179011380231
"108" "COMBO" "lacO1" "lacO1" "minus10cons" "minus35_30C_33T" 0.717712378320415
"109" "COMBO" "lacOsym" "lacO3" "minus10cons" "minus35_31A_32C" 3.59444429540454
"110" "COMBO" "lacO2" "lacO1" "minus10_12A" "minus35cons" 0.557575451186963
"111" "COMBO" "lacO2" "lacO3" "minus10_12A" "minus35cons" 0.766991203472652
"112" "COMBO" "lacO1" "lacO1" "minus10_7A" "minus35cons" 2.42682917476343
"113" "COMBO" "lacO2" "lacO2" "minus10cons" "minus35_33T" 0.736665689896821
"114" "COMBO" "lacOscram" "lacOscram" "minus10cons" "minus35_33T" 0.861824060353875
"115" "COMBO" "lacO1" "lacO1" "minus10cons" "minus35_33T" 3.7698706701822
"116" "COMBO" "lacO2" "lacOscram" "minus10_12A" "minus35cons" 1.23125387899308
"117" "COMBO" "lacO1" "lacOsym" "minus10cons" "minus35_31A_32C" 3.99142924771831
"118" "COMBO" "lacO3" "lacO2" "minus10cons" "minus35_31A_32C" 0.764305079732635
"119" "COMBO" "lacO3" "lacO2" "minus10_7A" "minus35cons" 0.746997451199675
"120" "COMBO" "lacOscram" "lacO2" "minus10cons" "minus35_31A_32C" 0.907599674671818
"121" "COMBO" "lacOscram" "lacO2" "minus10_12A" "minus35cons" 0.641035533554149
"122" "COMBO" "lacO1" "lacOscram" "minus10cons" "minus35cons" 2.61648294890417
"123" "COMBO" "lacO1" "lacO2" "minus10_12G" "minus35cons" 2.10750778840351
"124" "COMBO" "lacO2" "lacOscram" "minus10cons" "minus35_31A_32C" 0.846008252208237
"125" "COMBO" "lacOsym" "lacO1" "minus10cons" "minus35_33T" 2.68566187153371
"126" "COMBO" "lacOsym" "lacO2" "minus10cons" "minus35_33T" 2.54982623249911
"127" "COMBO" "lacOsym" "lacO2" "minus10_7A" "minus35cons" 1.7305982479354
"128" "COMBO" "lacO2" "lacO1" "minus10_12G" "minus35cons" 0.83863663562464
"129" "COMBO" "lacO1" "lacO3" "minus10cons" "minus35_30C_33T" 1.70234544832244
"130" "COMBO" "lacO2" "lacOsym" "minus10cons" "minus35_30C_33T" 0.788910394309875
"131" "COMBO" "lacOscram" "lacO1" "minus10_7A" "minus35cons" 0.988100657071989
"132" "COMBO" "lacOscram" "lacOsym" "minus10cons" "minus35_33T" 0.847670274539232
"133" "COMBO" "lacO1" "lacO2" "minus10_12A" "minus35cons" 1.10931885982946
"134" "COMBO" "lacO1" "lacO2" "minus10cons" "minus35_31A_32C" 2.50504176490809
"135" "COMBO" "lacO1" "lacO1" "minus10_12G" "minus35cons" 2.27452890750848
"136" "COMBO" "lacO2" "lacO1" "minus10cons" "minus35_33T" 1.423460827483
"137" "COMBO" "lacO3" "lacO3" "minus10_12G" "minus35cons" 0.954215413200701
"138" "COMBO" "lacO3" "lacO2" "minus10cons" "minus35_33T" 0.762804445546442
"139" "COMBO" "lacOsym" "lacO3" "minus10cons" "minus35cons" 8.67573963964359
"140" "COMBO" "lacOscram" "lacO3" "minus10cons" "minus35cons" 0.833302798983795
"141" "COMBO" "lacO1" "lacO3" "minus10cons" "minus35_31A_32C" 3.76738227494834
"142" "COMBO" "lacO1" "lacO2" "minus10cons" "minus35cons" 3.28785162335906
"143" "COMBO" "lacO1" "lacO3" "minus10cons" "minus35_33T" 2.12340993970565
"144" "COMBO" "lacOsym" "lacOscram" "minus10_12A" "minus35cons" 1.6210547194999
"145" "COMBO" "lacOscram" "lacOscram" "minus10cons" "minus35cons" 0.99809786730151
"146" "COMBO" "lacO2" "lacO3" "minus10cons" "minus35_31A_32C" 0.959247654128695
"147" "COMBO" "lacOscram" "lacOsym" "minus10_12G" "minus35cons" 0.835193878784405
"148" "COMBO" "lacO3" "lacO1" "minus10cons" "minus35cons" 1.28233124468129
"149" "COMBO" "lacO2" "lacOscram" "minus10_12G" "minus35cons" 0.747598807122015
"150" "COMBO" "lacOscram" "lacO2" "minus10_12G" "minus35cons" 0.841523053533119
"151" "COMBO" "lacOscram" "lacOsym" "minus10cons" "minus35_30C_33T" 0.707844279735933
"152" "COMBO" "lacO2" "lacOsym" "minus10cons" "minus35_33T" 2.37344780373499
"153" "COMBO" "lacOscram" "lacOscram" "minus10cons" "minus35_30C_33T" 1.18182354580482
"154" "COMBO" "lacO2" "lacOscram" "minus10_7A" "minus35cons" 0.720352228028567
"155" "COMBO" "lacOsym" "lacOscram" "minus10cons" "minus35_33T" 4.51611349887282
"156" "COMBO" "lacO2" "lacO2" "minus10_12A" "minus35cons" 0.684007990301422
"157" "COMBO" "lacOscram" "lacO2" "minus10cons" "minus35_30C_33T" 0.900233835541453
"158" "DISTAL" "lacO2" "lacOsym" "minus10cons" "minus35_33T" 1.37063893281465
"159" "DISTAL" "lacO1" "lacO2" "minus10_12G" "minus35cons" 1.93442658804338
"160" "DISTAL" "lacOscram" "lacO2" "minus10cons" "minus35_33T" 0.907517131648286
"161" "DISTAL" "lacO2" "lacO2" "minus10_7A" "minus35cons" 0.996383257717043
"162" "DISTAL" "lacO2" "lacOscram" "minus10cons" "minus35cons" 0.768495949131508
"163" "DISTAL" "lacOsym" "lacO2" "minus10cons" "minus35_30C_33T" 1.75769137337687
"164" "DISTAL" "lacO3" "lacO1" "minus10_12G" "minus35cons" 2.01657162453646
"165" "DISTAL" "lacO1" "lacOsym" "minus10_12A" "minus35cons" 2.11693399183498
"166" "DISTAL" "lacO2" "lacOsym" "minus10cons" "minus35cons" 0.805108364325548
"167" "DISTAL" "lacO2" "lacO2" "minus10cons" "minus35_30C_33T" 0.87177806209565
"168" "DISTAL" "lacO1" "lacO3" "minus10_7A" "minus35cons" 1.16886823794048
"169" "DISTAL" "lacOsym" "lacO1" "minus10_12A" "minus35cons" 0.971975778434371
"170" "DISTAL" "lacO1" "lacO1" "minus10cons" "minus35_30C_33T" 1.05255563606049
"171" "DISTAL" "lacO2" "lacO1" "minus10_12G" "minus35cons" 0.984889828675218
"172" "DISTAL" "lacOscram" "lacO2" "minus10cons" "minus35_31A_32C" 0.788770821448913
"173" "DISTAL" "lacOscram" "lacO1" "minus10_7A" "minus35cons" 0.620632305356865
"174" "DISTAL" "lacOscram" "lacOscram" "minus10cons" "minus35cons" 0.788094944780945
"175" "DISTAL" "lacOsym" "lacO2" "minus10cons" "minus35_33T" 2.26106983377569
"176" "DISTAL" "lacOscram" "lacO3" "minus10_12A" "minus35cons" 0.677285244034306
"177" "DISTAL" "lacO3" "lacOsym" "minus10_12G" "minus35cons" 1.23630713983082
"178" "DISTAL" "lacO3" "lacO2" "minus10_7A" "minus35cons" 0.669457436138309
"179" "DISTAL" "lacO1" "lacOsym" "minus10cons" "minus35cons" 4.25693804554842
"180" "DISTAL" "lacOsym" "lacO3" "minus10_7A" "minus35cons" 1.87442090574885
"181" "DISTAL" "lacO3" "lacO1" "minus10cons" "minus35_33T" 1.21393417388804
"182" "DISTAL" "lacOsym" "lacO3" "minus10cons" "minus35_31A_32C" 5.35781753236261
"183" "DISTAL" "lacO2" "lacO2" "minus10cons" "minus35_31A_32C" 0.721685567874309
"184" "DISTAL" "lacO3" "lacO3" "minus10cons" "minus35_33T" 1.11917738229698
"185" "DISTAL" "lacOsym" "lacOsym" "minus10cons" "minus35_33T" 2.28765765364155
"186" "DISTAL" "lacOscram" "lacO3" "minus10cons" "minus35cons" 0.474378393380053
"187" "DISTAL" "lacO1" "lacO3" "minus10cons" "minus35_31A_32C" 1.8341952707045
"188" "DISTAL" "lacOsym" "lacOsym" "minus10_7A" "minus35cons" 1.60913632835509
"189" "DISTAL" "lacO2" "lacO3" "minus10cons" "minus35_30C_33T" 0.971177576702907
"190" "DISTAL" "lacO2" "lacO2" "minus10cons" "minus35cons" 0.945211332756249
"191" "DISTAL" "lacO2" "lacOscram" "minus10cons" "minus35_30C_33T" 0.776406974506869
"192" "DISTAL" "lacOscram" "lacO2" "minus10_12G" "minus35cons" 0.871248677064359
"193" "DISTAL" "lacOscram" "lacO3" "minus10cons" "minus35_30C_33T" 0.917071545646958
"194" "DISTAL" "lacO1" "lacO3" "minus10cons" "minus35_30C_33T" 1.27301523182357
"195" "DISTAL" "lacO2" "lacOscram" "minus10cons" "minus35_33T" 0.779566008337203
"196" "DISTAL" "lacO2" "lacO1" "minus10cons" "minus35_33T" 1.26317541937483
"197" "DISTAL" "lacO3" "lacO1" "minus10cons" "minus35cons" 1.83595567393297
"198" "DISTAL" "lacOscram" "lacO2" "minus10cons" "minus35_30C_33T" 1.01571302694959
"199" "DISTAL" "lacO2" "lacO1" "minus10_12A" "minus35cons" 0.634015225831872
"200" "DISTAL" "lacOscram" "lacO2" "minus10cons" "minus35cons" 0.623352333767111
"201" "DISTAL" "lacOsym" "lacOsym" "minus10cons" "minus35cons" 12.9402893588264
"202" "DISTAL" "lacOsym" "lacO1" "minus10cons" "minus35_33T" 3.91583497768598
"203" "DISTAL" "lacO1" "lacO2" "minus10cons" "minus35_31A_32C" 3.15971016081406
"204" "DISTAL" "lacOscram" "lacOsym" "minus10cons" "minus35_31A_32C" 0.837767100495966
"205" "DISTAL" "lacOsym" "lacO3" "minus10cons" "minus35_30C_33T" 0.848945141175152
"206" "DISTAL" "lacOsym" "lacO2" "minus10cons" "minus35_31A_32C" 6.09631712922421
"207" "DISTAL" "lacO3" "lacOsym" "minus10cons" "minus35cons" 0.654457700291916
"208" "DISTAL" "lacOscram" "lacOscram" "minus10cons" "minus35_30C_33T" 0.913398089173278
