"name" "Library" "Distal" "Min_35" "Min_10" "Prox.Core" "Condition" "Expression" "Sym"
"36" "COMBO-lacO1-minus35cons-minus10_12G-lacOsym" "COMBO" "lacO1" "minus35cons" "minus10_12G" "lacOsym" "UnInduced" 1.30490797914561 "Yes"
"37" "COMBO-lacO3-minus35cons-minus10_12G-lacO1" "COMBO" "lacO3" "minus35cons" "minus10_12G" "lacO1" "UnInduced" 0.981109654055866 "No"
"38" "COMBO-lacOscram-minus35_31A_32C-minus10cons-lacO3" "COMBO" "lacOscram" "minus35_31A_32C" "minus10cons" "lacO3" "UnInduced" 11.493028514577 "No"
"39" "COMBO-lacO2-minus35cons-minus10cons-lacO2" "COMBO" "lacO2" "minus35cons" "minus10cons" "lacO2" "UnInduced" 20.5866224992507 "No"
"40" "COMBO-lacO3-minus35cons-minus10_12G-lacO2" "COMBO" "lacO3" "minus35cons" "minus10_12G" "lacO2" "UnInduced" 4.34478876297792 "No"
"41" "COMBO-lacO2-minus35cons-minus10_12G-lacOsym" "COMBO" "lacO2" "minus35cons" "minus10_12G" "lacOsym" "UnInduced" 0.835376881495099 "Yes"
"42" "COMBO-lacO1-minus35cons-minus10cons-lacOsym" "COMBO" "lacO1" "minus35cons" "minus10cons" "lacOsym" "UnInduced" 1.12523874051489 "Yes"
"43" "COMBO-lacOscram-minus35_30C_33T-minus10cons-lacO3" "COMBO" "lacOscram" "minus35_30C_33T" "minus10cons" "lacO3" "UnInduced" 0.896839447408434 "No"
"44" "COMBO-lacO1-minus35cons-minus10_7A-lacO3" "COMBO" "lacO1" "minus35cons" "minus10_7A" "lacO3" "UnInduced" 6.38411338028053 "No"
"45" "COMBO-lacO3-minus35_30C_33T-minus10cons-lacOsym" "COMBO" "lacO3" "minus35_30C_33T" "minus10cons" "lacOsym" "UnInduced" 0.869119323709453 "Yes"
"46" "COMBO-lacOsym-minus35_31A_32C-minus10cons-lacOsym" "COMBO" "lacOsym" "minus35_31A_32C" "minus10cons" "lacOsym" "UnInduced" 0.538116388106313 "Yes"
"47" "COMBO-lacOsym-minus35cons-minus10_12A-lacOsym" "COMBO" "lacOsym" "minus35cons" "minus10_12A" "lacOsym" "UnInduced" 1.05279936564106 "Yes"
"48" "COMBO-lacOscram-minus35cons-minus10cons-lacOsym" "COMBO" "lacOscram" "minus35cons" "minus10cons" "lacOsym" "UnInduced" 3.89244396257638 "Yes"
"49" "COMBO-lacOsym-minus35cons-minus10_12G-lacOsym" "COMBO" "lacOsym" "minus35cons" "minus10_12G" "lacOsym" "UnInduced" 0.98724120511223 "Yes"
"50" "COMBO-lacO2-minus35cons-minus10cons-lacO3" "COMBO" "lacO2" "minus35cons" "minus10cons" "lacO3" "UnInduced" 31.9289452610346 "No"
"51" "COMBO-lacOscram-minus35cons-minus10cons-lacO2" "COMBO" "lacOscram" "minus35cons" "minus10cons" "lacO2" "UnInduced" 22.1856380459614 "No"
"52" "COMBO-lacO2-minus35cons-minus10cons-lacOsym" "COMBO" "lacO2" "minus35cons" "minus10cons" "lacOsym" "UnInduced" 4.83376097984046 "Yes"
"53" "COMBO-lacO2-minus35_31A_32C-minus10cons-lacO2" "COMBO" "lacO2" "minus35_31A_32C" "minus10cons" "lacO2" "UnInduced" 15.7729896221429 "No"
"54" "COMBO-lacOsym-minus35cons-minus10_12A-lacOscram" "COMBO" "lacOsym" "minus35cons" "minus10_12A" "lacOscram" "UnInduced" 2.50097187962948 "No"
"55" "COMBO-lacO1-minus35_31A_32C-minus10cons-lacOsym" "COMBO" "lacO1" "minus35_31A_32C" "minus10cons" "lacOsym" "UnInduced" 1.53453197528451 "Yes"
"56" "COMBO-lacO1-minus35_30C_33T-minus10cons-lacOscram" "COMBO" "lacO1" "minus35_30C_33T" "minus10cons" "lacOscram" "UnInduced" 1.89186337134351 "No"
"57" "COMBO-lacO2-minus35cons-minus10_12G-lacO3" "COMBO" "lacO2" "minus35cons" "minus10_12G" "lacO3" "UnInduced" 3.20581060686836 "No"
"58" "COMBO-lacO2-minus35_30C_33T-minus10cons-lacO3" "COMBO" "lacO2" "minus35_30C_33T" "minus10cons" "lacO3" "UnInduced" 1.44324187412382 "No"
"59" "COMBO-lacO3-minus35cons-minus10_7A-lacOsym" "COMBO" "lacO3" "minus35cons" "minus10_7A" "lacOsym" "UnInduced" 0.923576560928214 "Yes"
"60" "COMBO-lacO2-minus35cons-minus10cons-lacOscram" "COMBO" "lacO2" "minus35cons" "minus10cons" "lacOscram" "UnInduced" 11.820627482084 "No"
"61" "COMBO-lacOsym-minus35cons-minus10cons-lacOsym" "COMBO" "lacOsym" "minus35cons" "minus10cons" "lacOsym" "UnInduced" 1.46387443710053 "Yes"
"62" "COMBO-lacO1-minus35cons-minus10cons-lacO2" "COMBO" "lacO1" "minus35cons" "minus10cons" "lacO2" "UnInduced" 12.9471128570067 "No"
"63" "COMBO-lacOsym-minus35cons-minus10_12G-lacO3" "COMBO" "lacOsym" "minus35cons" "minus10_12G" "lacO3" "UnInduced" 1.85662667847396 "No"
"64" "COMBO-lacOsym-minus35cons-minus10_7A-lacO3" "COMBO" "lacOsym" "minus35cons" "minus10_7A" "lacO3" "UnInduced" 1.13403370791176 "No"
"65" "COMBO-lacO3-minus35_31A_32C-minus10cons-lacOscram" "COMBO" "lacO3" "minus35_31A_32C" "minus10cons" "lacOscram" "UnInduced" 6.41289658754299 "No"
