"name" "Library" "Distal" "Min_35" "Min_10" "Prox.Core" "Condition" "Expression" "Sym"
"157" "COMBO-lacO2-minus35_30C_33T-minus10cons-lacOscram" "COMBO" "lacO2" "minus35_30C_33T" "minus10cons" "lacOscram" "UnInduced" 2.32327722962522 "No"
"158" "DISTAL-lacOsym-29-minus35_33T-lacO2_core-minus10cons" "DISTAL" "lacOsym" "minus35_33T" "minus10cons" "lacO2" "UnInduced" 8.73496690816631 "No"
"159" "DISTAL-lacO2-29-minus35cons-lacO1_core-minus10_12G" "DISTAL" "lacO2" "minus35cons" "minus10_12G" "lacO1" "UnInduced" 5.58101100431778 "No"
"160" "DISTAL-lacO2-29-minus35_33T-lacOscram_core-minus10cons" "DISTAL" "lacO2" "minus35_33T" "minus10cons" "lacOscram" "UnInduced" 19.5693227186679 "No"
"161" "DISTAL-lacO2-29-minus35cons-lacO2_core-minus10_7A" "DISTAL" "lacO2" "minus35cons" "minus10_7A" "lacO2" "UnInduced" 11.2085784852157 "No"
"162" "DISTAL-lacOscram-29-minus35cons-lacO2_core-minus10cons" "DISTAL" "lacOscram" "minus35cons" "minus10cons" "lacO2" "UnInduced" 19.5394141579315 "No"
"163" "DISTAL-lacO2-29-minus35_30C_33T-lacOsym_core-minus10cons" "DISTAL" "lacO2" "minus35_30C_33T" "minus10cons" "lacOsym" "UnInduced" 0.575535369659806 "Yes"
"164" "DISTAL-lacO1-29-minus35cons-lacO3_core-minus10_12G" "DISTAL" "lacO1" "minus35cons" "minus10_12G" "lacO3" "UnInduced" 1.13377773037966 "No"
"165" "DISTAL-lacOsym-29-minus35cons-lacO1_core-minus10_12A" "DISTAL" "lacOsym" "minus35cons" "minus10_12A" "lacO1" "UnInduced" 0.801510624952504 "No"
"166" "DISTAL-lacOsym-29-minus35cons-lacO2_core-minus10cons" "DISTAL" "lacOsym" "minus35cons" "minus10cons" "lacO2" "UnInduced" 35.3432217455793 "No"
"167" "DISTAL-lacO2-29-minus35_30C_33T-lacO2_core-minus10cons" "DISTAL" "lacO2" "minus35_30C_33T" "minus10cons" "lacO2" "UnInduced" 1.16099008326946 "No"
"168" "DISTAL-lacO3-29-minus35cons-lacO1_core-minus10_7A" "DISTAL" "lacO3" "minus35cons" "minus10_7A" "lacO1" "UnInduced" 2.27028973438339 "No"
"169" "DISTAL-lacO1-29-minus35cons-lacOsym_core-minus10_12A" "DISTAL" "lacO1" "minus35cons" "minus10_12A" "lacOsym" "UnInduced" 1.09006010797839 "Yes"
"170" "DISTAL-lacO1-29-minus35_30C_33T-lacO1_core-minus10cons" "DISTAL" "lacO1" "minus35_30C_33T" "minus10cons" "lacO1" "UnInduced" 1.89654603470138 "No"
"171" "DISTAL-lacO1-29-minus35cons-lacO2_core-minus10_12G" "DISTAL" "lacO1" "minus35cons" "minus10_12G" "lacO2" "UnInduced" 14.4494543609059 "No"
"172" "DISTAL-lacO2-29-minus35_31A_32C-lacOscram_core-minus10cons" "DISTAL" "lacO2" "minus35_31A_32C" "minus10cons" "lacOscram" "UnInduced" 29.1514705412101 "No"
"173" "DISTAL-lacO1-29-minus35cons-lacOscram_core-minus10_7A" "DISTAL" "lacO1" "minus35cons" "minus10_7A" "lacOscram" "UnInduced" 16.1243580055918 "No"
"174" "DISTAL-lacOscram-29-minus35cons-lacOscram_core-minus10cons" "DISTAL" "lacOscram" "minus35cons" "minus10cons" "lacOscram" "UnInduced" 32.5582146765811 "No"
"175" "DISTAL-lacO2-29-minus35_33T-lacOsym_core-minus10cons" "DISTAL" "lacO2" "minus35_33T" "minus10cons" "lacOsym" "UnInduced" 1.66430185849981 "Yes"
"176" "DISTAL-lacO3-29-minus35cons-lacOscram_core-minus10_12A" "DISTAL" "lacO3" "minus35cons" "minus10_12A" "lacOscram" "UnInduced" 12.9231990297169 "No"
"177" "DISTAL-lacOsym-29-minus35cons-lacO3_core-minus10_12G" "DISTAL" "lacOsym" "minus35cons" "minus10_12G" "lacO3" "UnInduced" 0.993984577175852 "No"
"178" "DISTAL-lacO2-29-minus35cons-lacO3_core-minus10_7A" "DISTAL" "lacO2" "minus35cons" "minus10_7A" "lacO3" "UnInduced" 4.28360247425143 "No"
"179" "DISTAL-lacOsym-29-minus35cons-lacO1_core-minus10cons" "DISTAL" "lacOsym" "minus35cons" "minus10cons" "lacO1" "UnInduced" 6.77888631557226 "No"
"180" "DISTAL-lacO3-29-minus35cons-lacOsym_core-minus10_7A" "DISTAL" "lacO3" "minus35cons" "minus10_7A" "lacOsym" "UnInduced" 0.755166133604271 "Yes"
"181" "DISTAL-lacO1-29-minus35_33T-lacO3_core-minus10cons" "DISTAL" "lacO1" "minus35_33T" "minus10cons" "lacO3" "UnInduced" 1.4695700013065 "No"
"182" "DISTAL-lacO3-29-minus35_31A_32C-lacOsym_core-minus10cons" "DISTAL" "lacO3" "minus35_31A_32C" "minus10cons" "lacOsym" "UnInduced" 1.70562286781439 "Yes"
"183" "DISTAL-lacO2-29-minus35_31A_32C-lacO2_core-minus10cons" "DISTAL" "lacO2" "minus35_31A_32C" "minus10cons" "lacO2" "UnInduced" 29.9923012182362 "No"
"184" "DISTAL-lacO3-29-minus35_33T-lacO3_core-minus10cons" "DISTAL" "lacO3" "minus35_33T" "minus10cons" "lacO3" "UnInduced" 5.79277902202486 "No"
"185" "DISTAL-lacOsym-29-minus35_33T-lacOsym_core-minus10cons" "DISTAL" "lacOsym" "minus35_33T" "minus10cons" "lacOsym" "UnInduced" 0.901283026051853 "Yes"
"186" "DISTAL-lacO3-29-minus35cons-lacOscram_core-minus10cons" "DISTAL" "lacO3" "minus35cons" "minus10cons" "lacOscram" "UnInduced" 25.4572778402581 "No"
"187" "DISTAL-lacO3-29-minus35_31A_32C-lacO1_core-minus10cons" "DISTAL" "lacO3" "minus35_31A_32C" "minus10cons" "lacO1" "UnInduced" 18.5257294829178 "No"
"188" "DISTAL-lacOsym-29-minus35cons-lacOsym_core-minus10_7A" "DISTAL" "lacOsym" "minus35cons" "minus10_7A" "lacOsym" "UnInduced" 1.29450503947689 "Yes"
"189" "DISTAL-lacO3-29-minus35_30C_33T-lacO2_core-minus10cons" "DISTAL" "lacO3" "minus35_30C_33T" "minus10cons" "lacO2" "UnInduced" 0.95902789438269 "No"
"190" "DISTAL-lacO2-29-minus35cons-lacO2_core-minus10cons" "DISTAL" "lacO2" "minus35cons" "minus10cons" "lacO2" "UnInduced" 66.3296343616111 "No"
"191" "DISTAL-lacOscram-29-minus35_30C_33T-lacO2_core-minus10cons" "DISTAL" "lacOscram" "minus35_30C_33T" "minus10cons" "lacO2" "UnInduced" 1.94074870728624 "No"
"192" "DISTAL-lacO2-29-minus35cons-lacOscram_core-minus10_12G" "DISTAL" "lacO2" "minus35cons" "minus10_12G" "lacOscram" "UnInduced" 61.8716273315913 "No"
"193" "DISTAL-lacO3-29-minus35_30C_33T-lacOscram_core-minus10cons" "DISTAL" "lacO3" "minus35_30C_33T" "minus10cons" "lacOscram" "UnInduced" 7.08957848966666 "No"
"194" "DISTAL-lacO3-29-minus35_30C_33T-lacO1_core-minus10cons" "DISTAL" "lacO3" "minus35_30C_33T" "minus10cons" "lacO1" "UnInduced" 1.29788501535053 "No"
"195" "DISTAL-lacOscram-29-minus35_33T-lacO2_core-minus10cons" "DISTAL" "lacOscram" "minus35_33T" "minus10cons" "lacO2" "UnInduced" 7.59719873767826 "No"
"196" "DISTAL-lacO1-29-minus35_33T-lacO2_core-minus10cons" "DISTAL" "lacO1" "minus35_33T" "minus10cons" "lacO2" "UnInduced" 9.02933376434042 "No"
"197" "DISTAL-lacO1-29-minus35cons-lacO3_core-minus10cons" "DISTAL" "lacO1" "minus35cons" "minus10cons" "lacO3" "UnInduced" 8.47515785041965 "No"
"198" "DISTAL-lacO2-29-minus35_30C_33T-lacOscram_core-minus10cons" "DISTAL" "lacO2" "minus35_30C_33T" "minus10cons" "lacOscram" "UnInduced" 5.70500767723746 "No"
"199" "DISTAL-lacO1-29-minus35cons-lacO2_core-minus10_12A" "DISTAL" "lacO1" "minus35cons" "minus10_12A" "lacO2" "UnInduced" 1.22563501036518 "No"
"200" "DISTAL-lacO2-29-minus35cons-lacOscram_core-minus10cons" "DISTAL" "lacO2" "minus35cons" "minus10cons" "lacOscram" "UnInduced" 27.5363331978203 "No"
"201" "DISTAL-lacOsym-29-minus35cons-lacOsym_core-minus10cons" "DISTAL" "lacOsym" "minus35cons" "minus10cons" "lacOsym" "UnInduced" 3.04392367725685 "Yes"
"202" "DISTAL-lacO1-29-minus35_33T-lacOsym_core-minus10cons" "DISTAL" "lacO1" "minus35_33T" "minus10cons" "lacOsym" "UnInduced" 1.93360372899007 "Yes"
"203" "DISTAL-lacO2-29-minus35_31A_32C-lacO1_core-minus10cons" "DISTAL" "lacO2" "minus35_31A_32C" "minus10cons" "lacO1" "UnInduced" 1.93310077608733 "No"
"204" "DISTAL-lacOsym-29-minus35_31A_32C-lacOscram_core-minus10cons" "DISTAL" "lacOsym" "minus35_31A_32C" "minus10cons" "lacOscram" "UnInduced" 14.6906452378856 "No"
"205" "DISTAL-lacO3-29-minus35_30C_33T-lacOsym_core-minus10cons" "DISTAL" "lacO3" "minus35_30C_33T" "minus10cons" "lacOsym" "UnInduced" 0.743662970468098 "Yes"
"206" "DISTAL-lacO2-29-minus35_31A_32C-lacOsym_core-minus10cons" "DISTAL" "lacO2" "minus35_31A_32C" "minus10cons" "lacOsym" "UnInduced" 1.47026281229719 "Yes"
"207" "DISTAL-lacOsym-29-minus35cons-lacO3_core-minus10cons" "DISTAL" "lacOsym" "minus35cons" "minus10cons" "lacO3" "UnInduced" 32.1145929346259 "No"
"208" "DISTAL-lacOscram-29-minus35_30C_33T-lacOscram_core-minus10cons" "DISTAL" "lacOscram" "minus35_30C_33T" "minus10cons" "lacOscram" "UnInduced" 1.58109992515531 "No"
"209" "DISTAL-lacO1-29-minus35_33T-lacOscram_core-minus10cons" "DISTAL" "lacO1" "minus35_33T" "minus10cons" "lacOscram" "UnInduced" 5.53496071091967 "No"
"210" "DISTAL-lacO2-29-minus35cons-lacOscram_core-minus10_7A" "DISTAL" "lacO2" "minus35cons" "minus10_7A" "lacOscram" "UnInduced" 22.3578907662672 "No"
"211" "DISTAL-lacOscram-29-minus35cons-lacO3_core-minus10_7A" "DISTAL" "lacOscram" "minus35cons" "minus10_7A" "lacO3" "UnInduced" 4.00430579715243 "No"
"212" "DISTAL-lacOsym-29-minus35_30C_33T-lacOsym_core-minus10cons" "DISTAL" "lacOsym" "minus35_30C_33T" "minus10cons" "lacOsym" "UnInduced" 0.523894855256722 "Yes"
"213" "DISTAL-lacOsym-29-minus35_30C_33T-lacO1_core-minus10cons" "DISTAL" "lacOsym" "minus35_30C_33T" "minus10cons" "lacO1" "UnInduced" 0.806599813605639 "No"
"214" "DISTAL-lacOsym-29-minus35_33T-lacO1_core-minus10cons" "DISTAL" "lacOsym" "minus35_33T" "minus10cons" "lacO1" "UnInduced" 1.77325886475053 "No"
"215" "DISTAL-lacO3-29-minus35cons-lacOscram_core-minus10_7A" "DISTAL" "lacO3" "minus35cons" "minus10_7A" "lacOscram" "UnInduced" 20.0713797548121 "No"
"216" "DISTAL-lacOscram-29-minus35_30C_33T-lacO3_core-minus10cons" "DISTAL" "lacOscram" "minus35_30C_33T" "minus10cons" "lacO3" "UnInduced" 1.40458860271974 "No"
"217" "DISTAL-lacOsym-29-minus35cons-lacOscram_core-minus10_12A" "DISTAL" "lacOsym" "minus35cons" "minus10_12A" "lacOscram" "UnInduced" 21.7597008973542 "No"
"218" "DISTAL-lacOscram-29-minus35cons-lacO2_core-minus10_12A" "DISTAL" "lacOscram" "minus35cons" "minus10_12A" "lacO2" "UnInduced" 2.58725610374301 "No"
"219" "DISTAL-lacO2-29-minus35cons-lacOsym_core-minus10_12G" "DISTAL" "lacO2" "minus35cons" "minus10_12G" "lacOsym" "UnInduced" 1.84679381168154 "Yes"
"220" "DISTAL-lacO3-29-minus35_33T-lacOsym_core-minus10cons" "DISTAL" "lacO3" "minus35_33T" "minus10cons" "lacOsym" "UnInduced" 2.00661170032479 "Yes"
"221" "DISTAL-lacOscram-29-minus35cons-lacO3_core-minus10_12A" "DISTAL" "lacOscram" "minus35cons" "minus10_12A" "lacO3" "UnInduced" 1.11046376156066 "No"
"222" "DISTAL-lacOscram-29-minus35_30C_33T-lacOsym_core-minus10cons" "DISTAL" "lacOscram" "minus35_30C_33T" "minus10cons" "lacOsym" "UnInduced" 1.62991151703937 "Yes"
"223" "DISTAL-lacOscram-29-minus35_30C_33T-lacO1_core-minus10cons" "DISTAL" "lacOscram" "minus35_30C_33T" "minus10cons" "lacO1" "UnInduced" 0.897877942529939 "No"
"224" "DISTAL-lacOscram-29-minus35cons-lacO3_core-minus10_12G" "DISTAL" "lacOscram" "minus35cons" "minus10_12G" "lacO3" "UnInduced" 2.9805321137367 "No"
"225" "DISTAL-lacO1-29-minus35_30C_33T-lacOsym_core-minus10cons" "DISTAL" "lacO1" "minus35_30C_33T" "minus10cons" "lacOsym" "UnInduced" 0.77824140509175 "Yes"
"226" "DISTAL-lacO2-29-minus35cons-lacO1_core-minus10_12A" "DISTAL" "lacO2" "minus35cons" "minus10_12A" "lacO1" "UnInduced" 1.07717086869321 "No"
"227" "DISTAL-lacO1-29-minus35cons-lacO1_core-minus10cons" "DISTAL" "lacO1" "minus35cons" "minus10cons" "lacO1" "UnInduced" 7.27861447619598 "No"
"228" "DISTAL-lacO3-29-minus35cons-lacO2_core-minus10cons" "DISTAL" "lacO3" "minus35cons" "minus10cons" "lacO2" "UnInduced" 39.9588259011231 "No"
"229" "DISTAL-lacO1-29-minus35_31A_32C-lacO3_core-minus10cons" "DISTAL" "lacO1" "minus35_31A_32C" "minus10cons" "lacO3" "UnInduced" 3.21395074030722 "No"
"230" "DISTAL-lacOscram-29-minus35cons-lacOscram_core-minus10_7A" "DISTAL" "lacOscram" "minus35cons" "minus10_7A" "lacOscram" "UnInduced" 12.1229786240716 "No"
"231" "DISTAL-lacO2-29-minus35cons-lacOscram_core-minus10_12A" "DISTAL" "lacO2" "minus35cons" "minus10_12A" "lacOscram" "UnInduced" 10.6574579192322 "No"
"232" "DISTAL-lacO3-29-minus35_33T-lacO2_core-minus10cons" "DISTAL" "lacO3" "minus35_33T" "minus10cons" "lacO2" "UnInduced" 4.33189873525531 "No"
"233" "DISTAL-lacO3-29-minus35_31A_32C-lacO3_core-minus10cons" "DISTAL" "lacO3" "minus35_31A_32C" "minus10cons" "lacO3" "UnInduced" 3.15824637143626 "No"
"234" "DISTAL-lacO3-29-minus35cons-lacO2_core-minus10_12G" "DISTAL" "lacO3" "minus35cons" "minus10_12G" "lacO2" "UnInduced" 14.1881041609167 "No"
"235" "DISTAL-lacO1-29-minus35cons-lacOscram_core-minus10cons" "DISTAL" "lacO1" "minus35cons" "minus10cons" "lacOscram" "UnInduced" 37.8448856982528 "No"
"236" "DISTAL-lacO1-29-minus35cons-lacO1_core-minus10_12G" "DISTAL" "lacO1" "minus35cons" "minus10_12G" "lacO1" "UnInduced" 2.2814255569116 "No"
"237" "DISTAL-lacO3-29-minus35cons-lacO3_core-minus10_12A" "DISTAL" "lacO3" "minus35cons" "minus10_12A" "lacO3" "UnInduced" 0.789520341250831 "No"
"238" "DISTAL-lacO2-29-minus35cons-lacOsym_core-minus10_7A" "DISTAL" "lacO2" "minus35cons" "minus10_7A" "lacOsym" "UnInduced" 1.1490134169327 "Yes"
"239" "DISTAL-lacOsym-29-minus35cons-lacO1_core-minus10_12G" "DISTAL" "lacOsym" "minus35cons" "minus10_12G" "lacO1" "UnInduced" 2.48154847162174 "No"
"240" "DISTAL-lacOscram-29-minus35_33T-lacOscram_core-minus10cons" "DISTAL" "lacOscram" "minus35_33T" "minus10cons" "lacOscram" "UnInduced" 6.41751286802197 "No"
"241" "DISTAL-lacOscram-29-minus35cons-lacO3_core-minus10cons" "DISTAL" "lacOscram" "minus35cons" "minus10cons" "lacO3" "UnInduced" 37.6953966241185 "No"
"242" "DISTAL-lacO2-29-minus35cons-lacO1_core-minus10cons" "DISTAL" "lacO2" "minus35cons" "minus10cons" "lacO1" "UnInduced" 57.8379744101359 "No"
"243" "DISTAL-lacO3-29-minus35cons-lacOsym_core-minus10_12G" "DISTAL" "lacO3" "minus35cons" "minus10_12G" "lacOsym" "UnInduced" 1.28136626242269 "Yes"
"244" "DISTAL-lacOscram-29-minus35_31A_32C-lacOsym_core-minus10cons" "DISTAL" "lacOscram" "minus35_31A_32C" "minus10cons" "lacOsym" "UnInduced" 1.83107295480831 "Yes"
"245" "DISTAL-lacO1-29-minus35cons-lacO2_core-minus10_7A" "DISTAL" "lacO1" "minus35cons" "minus10_7A" "lacO2" "UnInduced" 2.53533958014002 "No"
"246" "DISTAL-lacO1-29-minus35_31A_32C-lacOsym_core-minus10cons" "DISTAL" "lacO1" "minus35_31A_32C" "minus10cons" "lacOsym" "UnInduced" 1.46783580856415 "Yes"
"247" "DISTAL-lacOscram-29-minus35_31A_32C-lacO2_core-minus10cons" "DISTAL" "lacOscram" "minus35_31A_32C" "minus10cons" "lacO2" "UnInduced" 33.3792967901289 "No"
"248" "DISTAL-lacO3-29-minus35cons-lacO2_core-minus10_12A" "DISTAL" "lacO3" "minus35cons" "minus10_12A" "lacO2" "UnInduced" 4.02623670963176 "No"
"249" "DISTAL-lacOsym-29-minus35_31A_32C-lacO3_core-minus10cons" "DISTAL" "lacOsym" "minus35_31A_32C" "minus10cons" "lacO3" "UnInduced" 4.81683063657028 "No"
"250" "DISTAL-lacO3-29-minus35cons-lacO1_core-minus10cons" "DISTAL" "lacO3" "minus35cons" "minus10cons" "lacO1" "UnInduced" 12.5027735211632 "No"
"251" "DISTAL-lacO2-29-minus35cons-lacO2_core-minus10_12A" "DISTAL" "lacO2" "minus35cons" "minus10_12A" "lacO2" "UnInduced" 2.93544337596256 "No"
"252" "DISTAL-lacOsym-29-minus35_31A_32C-lacO1_core-minus10cons" "DISTAL" "lacOsym" "minus35_31A_32C" "minus10cons" "lacO1" "UnInduced" 1.20624421171463 "No"
"253" "DISTAL-lacO2-29-minus35_30C_33T-lacO1_core-minus10cons" "DISTAL" "lacO2" "minus35_30C_33T" "minus10cons" "lacO1" "UnInduced" 1.4540742900168 "No"
"254" "DISTAL-lacO3-29-minus35cons-lacO1_core-minus10_12A" "DISTAL" "lacO3" "minus35cons" "minus10_12A" "lacO1" "UnInduced" 0.900521575067319 "No"
"255" "DISTAL-lacO1-29-minus35cons-lacOsym_core-minus10_12G" "DISTAL" "lacO1" "minus35cons" "minus10_12G" "lacOsym" "UnInduced" 1.68626078828392 "Yes"
"256" "DISTAL-lacO2-29-minus35_33T-lacO3_core-minus10cons" "DISTAL" "lacO2" "minus35_33T" "minus10cons" "lacO3" "UnInduced" 1.50356561265937 "No"
"257" "DISTAL-lacOsym-29-minus35cons-lacO1_core-minus10_7A" "DISTAL" "lacOsym" "minus35cons" "minus10_7A" "lacO1" "UnInduced" 0.603138397964498 "No"
"258" "DISTAL-lacOscram-29-minus35cons-lacOsym_core-minus10_12G" "DISTAL" "lacOscram" "minus35cons" "minus10_12G" "lacOsym" "UnInduced" 3.04320750713417 "Yes"
"259" "DISTAL-lacO1-29-minus35cons-lacOscram_core-minus10_12G" "DISTAL" "lacO1" "minus35cons" "minus10_12G" "lacOscram" "UnInduced" 21.4688227526788 "No"
"260" "DISTAL-lacOsym-29-minus35_31A_32C-lacOsym_core-minus10cons" "DISTAL" "lacOsym" "minus35_31A_32C" "minus10cons" "lacOsym" "UnInduced" 1.42043833217738 "Yes"
"261" "DISTAL-lacO3-29-minus35cons-lacO1_core-minus10_12G" "DISTAL" "lacO3" "minus35cons" "minus10_12G" "lacO1" "UnInduced" 4.02068322143475 "No"
"262" "DISTAL-lacOscram-29-minus35cons-lacOsym_core-minus10cons" "DISTAL" "lacOscram" "minus35cons" "minus10cons" "lacOsym" "UnInduced" 15.5816704355055 "Yes"
"263" "DISTAL-lacOsym-29-minus35cons-lacO2_core-minus10_7A" "DISTAL" "lacOsym" "minus35cons" "minus10_7A" "lacO2" "UnInduced" 6.07653270086361 "No"
"264" "DISTAL-lacO3-29-minus35_33T-lacO1_core-minus10cons" "DISTAL" "lacO3" "minus35_33T" "minus10cons" "lacO1" "UnInduced" 1.23701251755377 "No"
"265" "DISTAL-lacOscram-29-minus35_31A_32C-lacO1_core-minus10cons" "DISTAL" "lacOscram" "minus35_31A_32C" "minus10cons" "lacO1" "UnInduced" 6.60464113548723 "No"
"266" "DISTAL-lacO2-29-minus35cons-lacO3_core-minus10_12G" "DISTAL" "lacO2" "minus35cons" "minus10_12G" "lacO3" "UnInduced" 2.77457514278414 "No"
"267" "DISTAL-lacOsym-29-minus35cons-lacO2_core-minus10_12G" "DISTAL" "lacOsym" "minus35cons" "minus10_12G" "lacO2" "UnInduced" 5.44167803536694 "No"
"268" "DISTAL-lacO3-29-minus35cons-lacO3_core-minus10_7A" "DISTAL" "lacO3" "minus35cons" "minus10_7A" "lacO3" "UnInduced" 4.13863200460193 "No"
"269" "DISTAL-lacO1-29-minus35cons-lacO3_core-minus10_7A" "DISTAL" "lacO1" "minus35cons" "minus10_7A" "lacO3" "UnInduced" 1.72728821288759 "No"
"270" "DISTAL-lacOsym-29-minus35_30C_33T-lacO3_core-minus10cons" "DISTAL" "lacOsym" "minus35_30C_33T" "minus10cons" "lacO3" "UnInduced" 0.534645892384699 "No"
"271" "DISTAL-lacO3-29-minus35cons-lacO3_core-minus10_12G" "DISTAL" "lacO3" "minus35cons" "minus10_12G" "lacO3" "UnInduced" 1.59550663405365 "No"
"272" "DISTAL-lacOscram-29-minus35cons-lacO1_core-minus10cons" "DISTAL" "lacOscram" "minus35cons" "minus10cons" "lacO1" "UnInduced" 18.6744749074605 "No"
"273" "DISTAL-lacO2-29-minus35cons-lacO3_core-minus10_12A" "DISTAL" "lacO2" "minus35cons" "minus10_12A" "lacO3" "UnInduced" 2.43091955729498 "No"
"274" "DISTAL-lacO2-29-minus35_33T-lacO1_core-minus10cons" "DISTAL" "lacO2" "minus35_33T" "minus10cons" "lacO1" "UnInduced" 3.80919545359655 "No"
"275" "DISTAL-lacOscram-29-minus35cons-lacO1_core-minus10_12G" "DISTAL" "lacOscram" "minus35cons" "minus10_12G" "lacO1" "UnInduced" 8.8579455658057 "No"
"276" "DISTAL-lacO3-29-minus35cons-lacOsym_core-minus10cons" "DISTAL" "lacO3" "minus35cons" "minus10cons" "lacOsym" "UnInduced" 10.5245461017813 "Yes"
"277" "DISTAL-lacO1-29-minus35cons-lacO1_core-minus10_7A" "DISTAL" "lacO1" "minus35cons" "minus10_7A" "lacO1" "UnInduced" 0.549607372166323 "No"
"278" "DISTAL-lacO3-29-minus35_31A_32C-lacOscram_core-minus10cons" "DISTAL" "lacO3" "minus35_31A_32C" "minus10cons" "lacOscram" "UnInduced" 31.9081937787791 "No"
"279" "DISTAL-lacO2-29-minus35cons-lacO1_core-minus10_7A" "DISTAL" "lacO2" "minus35cons" "minus10_7A" "lacO1" "UnInduced" 1.38733622934787 "No"
"280" "DISTAL-lacOscram-29-minus35_31A_32C-lacOscram_core-minus10cons" "DISTAL" "lacOscram" "minus35_31A_32C" "minus10cons" "lacOscram" "UnInduced" 34.9451393167489 "No"
"281" "DISTAL-lacO3-29-minus35_31A_32C-lacO2_core-minus10cons" "DISTAL" "lacO3" "minus35_31A_32C" "minus10cons" "lacO2" "UnInduced" 29.6599092294054 "No"
"282" "DISTAL-lacO2-29-minus35cons-lacO3_core-minus10cons" "DISTAL" "lacO2" "minus35cons" "minus10cons" "lacO3" "UnInduced" 60.3923164881826 "No"
"283" "DISTAL-lacO1-29-minus35_31A_32C-lacO2_core-minus10cons" "DISTAL" "lacO1" "minus35_31A_32C" "minus10cons" "lacO2" "UnInduced" 7.56746160659366 "No"
"284" "DISTAL-lacO3-29-minus35_30C_33T-lacO3_core-minus10cons" "DISTAL" "lacO3" "minus35_30C_33T" "minus10cons" "lacO3" "UnInduced" 1.11216915604241 "No"
"285" "DISTAL-lacO1-29-minus35cons-lacOscram_core-minus10_12A" "DISTAL" "lacO1" "minus35cons" "minus10_12A" "lacOscram" "UnInduced" 16.0925784704421 "No"
"286" "DISTAL-lacO3-29-minus35cons-lacO2_core-minus10_7A" "DISTAL" "lacO3" "minus35cons" "minus10_7A" "lacO2" "UnInduced" 1.15077775786356 "No"
"287" "DISTAL-lacO1-29-minus35cons-lacO3_core-minus10_12A" "DISTAL" "lacO1" "minus35cons" "minus10_12A" "lacO3" "UnInduced" 0.843689370022987 "No"
"288" "DISTAL-lacO1-29-minus35_33T-lacO1_core-minus10cons" "DISTAL" "lacO1" "minus35_33T" "minus10cons" "lacO1" "UnInduced" 1.33209566649198 "No"
"289" "DISTAL-lacOsym-29-minus35cons-lacOsym_core-minus10_12A" "DISTAL" "lacOsym" "minus35cons" "minus10_12A" "lacOsym" "UnInduced" 1.10835804851095 "Yes"
"290" "DISTAL-lacOscram-29-minus35_33T-lacO3_core-minus10cons" "DISTAL" "lacOscram" "minus35_33T" "minus10cons" "lacO3" "UnInduced" 5.1832478021002 "No"
"291" "DISTAL-lacOscram-29-minus35cons-lacOscram_core-minus10_12G" "DISTAL" "lacOscram" "minus35cons" "minus10_12G" "lacOscram" "UnInduced" 32.2547548317281 "No"
"292" "DISTAL-lacOsym-29-minus35cons-lacO3_core-minus10_12A" "DISTAL" "lacOsym" "minus35cons" "minus10_12A" "lacO3" "UnInduced" 1.40737591999585 "No"
"293" "DISTAL-lacO3-29-minus35cons-lacOscram_core-minus10_12G" "DISTAL" "lacO3" "minus35cons" "minus10_12G" "lacOscram" "UnInduced" 34.116467072426 "No"
"294" "DISTAL-lacO2-29-minus35cons-lacOsym_core-minus10cons" "DISTAL" "lacO2" "minus35cons" "minus10cons" "lacOsym" "UnInduced" 3.0832756815128 "Yes"
"295" "DISTAL-lacOscram-29-minus35cons-lacO1_core-minus10_12A" "DISTAL" "lacOscram" "minus35cons" "minus10_12A" "lacO1" "UnInduced" 4.30271105730293 "No"
"296" "DISTAL-lacO1-29-minus35cons-lacO1_core-minus10_12A" "DISTAL" "lacO1" "minus35cons" "minus10_12A" "lacO1" "UnInduced" 1.54911122316247 "No"
"297" "DISTAL-lacOscram-29-minus35cons-lacO2_core-minus10_7A" "DISTAL" "lacOscram" "minus35cons" "minus10_7A" "lacO2" "UnInduced" 2.72236850302567 "No"
"298" "DISTAL-lacOsym-29-minus35cons-lacOsym_core-minus10_12G" "DISTAL" "lacOsym" "minus35cons" "minus10_12G" "lacOsym" "UnInduced" 1.11832721566759 "Yes"
"299" "DISTAL-lacOscram-29-minus35cons-lacO2_core-minus10_12G" "DISTAL" "lacOscram" "minus35cons" "minus10_12G" "lacO2" "UnInduced" 16.7539005482458 "No"
"300" "DISTAL-lacO1-29-minus35_30C_33T-lacOscram_core-minus10cons" "DISTAL" "lacO1" "minus35_30C_33T" "minus10cons" "lacOscram" "UnInduced" 2.43554340638198 "No"
"301" "DISTAL-lacO3-29-minus35cons-lacO3_core-minus10cons" "DISTAL" "lacO3" "minus35cons" "minus10cons" "lacO3" "UnInduced" 21.7242568767002 "No"
"302" "DISTAL-lacO1-29-minus35cons-lacO2_core-minus10cons" "DISTAL" "lacO1" "minus35cons" "minus10cons" "lacO2" "UnInduced" 56.5444269438344 "No"
"303" "DISTAL-lacOscram-29-minus35_33T-lacO1_core-minus10cons" "DISTAL" "lacOscram" "minus35_33T" "minus10cons" "lacO1" "UnInduced" 1.83502241254525 "No"
"304" "DISTAL-lacO3-29-minus35_33T-lacOscram_core-minus10cons" "DISTAL" "lacO3" "minus35_33T" "minus10cons" "lacOscram" "UnInduced" 15.0045797210776 "No"
