induced_exp	uninduced_exp	fold_change	E10	E35	Eprox	Edist	Condition
5.144438522320885	1.179858209612069	4.360217592597291	0	-1.96	-2.2	-0.23	FC
16.00812288096119	2.2837340963336543	7.009626430091359	0	-1.96	-2.2	3.01	FC
17.038383211575667	2.6272933511063674	6.485146854423665	0	-1.96	-2.2	3.91	FC
17.830348996726087	3.0002530864833963	5.942948305612805	0	-1.96	-2.2	27.88	FC
12.17168092581888	1.6221200956642814	7.50356336645617	0	-1.96	-2.2	1.58	FC
13.65680976001436	1.8081653017021735	7.552854679358182	0	-1.96	-2.2	2.01	FC
16.917199900213618	2.5799949465945637	6.557067068113173	0	-1.96	-2.2	3.76	FC
17.830348996537854	3.000253086378871	5.942948305757111	0	-1.96	-2.2	25.96	FC
1.8697274408080815	1.0779367299838156	1.7345428435638834	0	-1.96	-2.2	-2.09	FC
5.502882357903072	1.211660000378997	4.54160602494249	0	-1.96	-2.0980000000000003	-0.23	FC
16.44365296416877	2.423622589562899	6.784741582696004	0	-1.96	-2.0980000000000003	3.01	FC
17.42360851501863	2.79808883419834	6.226967600909118	0	-1.96	-2.0980000000000003	3.91	FC
18.17051981244912	3.2031452239324354	5.67271183232259	0	-1.96	-2.0980000000000003	27.88	FC
12.709694395925048	1.6988424065319843	7.481385175609438	0	-1.96	-2.0980000000000003	1.58	FC
14.171272845299407	1.90313702875579	7.446270358453448	0	-1.96	-2.0980000000000003	2.01	FC
17.308831740282724	2.746611877874668	6.301884834808302	0	-1.96	-2.0980000000000003	3.76	FC
18.17051981227225	3.203145223819127	5.67271183246804	0	-1.96	-2.0980000000000003	25.96	FC
1.970653775687706	1.0990781502119389	1.7930060526703204	0	-1.96	-2.0980000000000003	-2.09	FC
5.882582241655847	1.2467643855899562	4.718279018591207	0	-1.96	-1.9960000000000002	-0.23	FC
16.85907076152863	2.5762512135510467	6.544032147505703	0	-1.96	-1.9960000000000002	3.01	FC
17.78760723341728	2.9837704025842813	5.961453072264276	0	-1.96	-1.9960000000000002	3.91	FC
18.48965170423315	3.422864797977182	5.401806029604214	0	-1.96	-1.9960000000000002	27.88	FC
13.241565875957969	1.7831368253043833	7.425995407670199	0	-1.96	-1.9960000000000002	1.58	FC
14.672787135456469	2.0072774297265434	7.309795306897552	0	-1.96	-1.9960000000000002	2.01	FC
17.67929162216254	2.927840253954951	6.03833887394683	0	-1.96	-1.9960000000000002	3.76	FC
18.489651704067484	3.4228647978546	5.401806029749267	0	-1.96	-1.9960000000000002	25.96	FC
2.0812519037148705	1.1224403503931408	1.8542204964262918	0	-1.96	-1.9960000000000002	-2.09	FC
6.283336417652328	1.2855012699617838	4.887849249529814	0	-1.96	-1.8940000000000001	-0.23	FC
17.253729556361186	2.742536365524574	6.291157985451547	0	-1.96	-1.8940000000000001	3.01	FC
18.130350113027603	3.1852759364316707	5.691924490955802	0	-1.96	-1.8940000000000001	3.91	FC
18.788130534902955	3.660306101713318	5.132939708542025	0	-1.96	-1.8940000000000001	27.88	FC
13.764691746075592	1.8756757212254611	7.338524239724399	0	-1.96	-1.8940000000000001	1.58	FC
15.159333703886498	2.121357492896395	7.146053295896254	0	-1.96	-1.8940000000000001	2.01	FC
18.028481014718015	3.124618726683037	5.769817885542882	0	-1.96	-1.8940000000000001	3.76	FC
18.788130534748237	3.6603061015809946	5.132939708685317	0	-1.96	-1.8940000000000001	25.96	FC
2.2023200032015424	1.1482508157083673	1.9179781743441735	0	-1.96	-1.8940000000000001	-2.09	FC
6.704689672690606	1.328230628039543	5.047835467088023	0	-1.96	-1.7920000000000003	-0.23	FC
17.62725012149565	2.9234109447167187	6.029686025959565	0	-1.96	-1.7920000000000003	3.01	FC
18.452018939635913	3.4035313420670334	5.4214335303959995	0	-1.96	-1.7920000000000003	3.91	FC
19.066494474165303	3.916314362409529	4.868479062144174	0	-1.96	-1.7920000000000003	27.88	FC
14.276642217622138	1.9771751916978173	7.2207269631795565	0	-1.96	-1.7920000000000003	1.58	FC
15.62916256730761	2.2461890590906037	6.958079732449263	0	-1.96	-1.7920000000000003	2.01	FC
18.356520433211287	3.337878288309685	5.499457693679749	0	-1.96	-1.7920000000000003	3.76	FC
19.066494474021212	3.916314362267027	4.86847906228453	0	-1.96	-1.7920000000000003	25.96	FC
2.3346952252701056	1.1767590436971256	1.9840044890880906	0	-1.96	-1.7920000000000003	-2.09	FC
7.145914279137529	1.3753446043835311	5.195726406576142	0	-1.96	-1.6900000000000002	-0.23	FC
17.979500274601964	3.1198136153422555	5.763004618668395	0	-1.96	-1.6900000000000002	3.01	FC
18.752979180671815	3.6394341590011288	5.152718351640332	0	-1.96	-1.6900000000000002	3.91	FC
19.3254065100011	4.19166404287652	4.610437838605758	0	-1.96	-1.6900000000000002	27.88	FC
14.775203284273234	2.088394412437451	7.074910369554421	0	-1.96	-1.6900000000000002	1.58	FC
16.080809018675676	2.382621744000606	6.749207699109955	0	-1.96	-1.6900000000000002	2.01	FC
18.663722503016334	3.5685266275286387	5.230091982231272	0	-1.96	-1.6900000000000002	3.76	FC
19.32540650986725	4.191664042723446	4.610437838742193	0	-1.96	-1.6900000000000002	25.96	FC
2.479249711533365	1.2082383861771988	2.0519541010260216	0	-1.96	-1.6900000000000002	-2.09	FC
7.605996637846242	1.4272696120820156	5.329053861625392	0	-1.96	-1.588	-0.23	FC
18.310570606688255	3.332675718823563	5.4942551125711985	0	-1.96	-1.588	3.01	FC
19.03375199957053	3.8938345895701505	4.88817682460202	0	-1.96	-1.588	3.91	FC
